Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Year_norm
Renault,Other,1998.0,Hatchback,129448.0,1600.0,Petrol,1,2399.0,0.43902439024390244
Renault,Other,2015.0,Minivan,168000.0,1600.0,Diesel,1,18650.0,0.8536585365853658
BMW,3 Series,1994.0,Sedan,180000.0,1600.0,Petrol,0,2400.0,0.34146341463414637
Toyota,Prius,2016.0,Hatchback,0.0,1800.0,Hybrid,1,12350.0,0.8780487804878049
Skoda,Other,2015.0,Crossover,150000.0,1400.0,Petrol,1,11000.0,0.8536585365853658
Land Rover,Other,2007.0,SUV,223000.0,2700.0,Diesel,1,15000.0,0.6585365853658537
Volkswagen,Other,2011.0,Universal,141000.0,1400.0,Petrol,0,9800.0,0.7560975609756098
Dacia,Other,2013.0,Universal,0.0,1500.0,Diesel,0,7490.0,0.8048780487804879
Volkswagen,Passat,2003.0,Sedan,250000.0,1922.0,Diesel,1,4600.0,0.5609756097560976
Mercedes,E Class,2006.0,Sedan,250000.0,2200.0,Diesel,1,9999.0,0.6341463414634146
Opel,Astra,2011.0,Universal,176000.0,1300.0,Diesel,0,6000.0,0.7560975609756098
Audi,A4,2008.0,Universal,275.0,2000.0,Petrol,1,7999.0,0.6829268292682927
Renault,Grand Scenic,2014.0,Universal,167000.0,1500.0,Diesel,1,8600.0,0.8292682926829268
Dacia,Logan,2009.0,Universal,1.0,1600.0,Metan/Propan,0,3600.0,0.7073170731707317
BMW,7 Series,2011.0,Sedan,180000.0,2999.0,Diesel,1,22000.0,0.7560975609756098
Peugeot,Other,2006.0,Minivan,170000.0,2000.0,Diesel,1,2000.0,0.6341463414634146
Honda,CR-V,2013.0,SUV,178500.0,2200.0,Diesel,0,15700.0,0.8048780487804879
Skoda,Superb,2012.0,Sedan,265000.0,1800.0,Petrol,1,8999.0,0.7804878048780488
Mercedes,E Class,2002.0,Sedan,331200.0,2200.0,Diesel,1,6399.0,0.5365853658536586
Skoda,Superb,2017.0,Sedan,120000.0,1999.0,Petrol,1,23900.0,0.9024390243902439
BMW,5 Series,2011.0,Sedan,123.0,2000.0,Diesel,1,16600.0,0.7560975609756098
Volkswagen,Jetta,2013.0,Sedan,110000.0,1400.0,Hybrid,1,8000.0,0.8048780487804879
Hyundai,Other,2010.0,Pickup,190000.0,2000.0,Diesel,1,12000.0,0.7317073170731707
Toyota,Other,2014.0,Hatchback,144947.0,1496.0,Hybrid,1,7499.0,0.8292682926829268
Renault,Grand Scenic,2012.0,Universal,180000.0,1500.0,Diesel,0,7499.0,0.7804878048780488
BMW,X5,2012.0,SUV,157000.0,3000.0,Petrol,1,17499.0,0.7804878048780488
Renault,Other,2016.0,Sedan,151130.0,1500.0,Diesel,0,12499.0,0.8780487804878049
Opel,Other,2005.0,Hatchback,0.0,1400.0,Petrol,0,3550.0,0.6097560975609756
Renault,Megane,2006.0,Universal,170000.0,2000.0,Metan/Propan,0,2900.0,0.6341463414634146
Nissan,Other,2011.0,SUV,155000.0,1600.0,Petrol,1,9300.0,0.7560975609756098
Subaru,Other,2011.0,Hatchback,116000.0,1400.0,Diesel,1,7300.0,0.7560975609756098
Dacia,Logan,2007.0,Sedan,185000.0,1500.0,Diesel,0,3400.0,0.6585365853658537
